citedAuthor,authname
A Ambrose,A Ambrose
A Donagan,A Donagan
A Gewirth,A Gewirth
A Goldman,A Goldman
A Golman,A Goldman
A Grunbaum,A Grunbaum
A Morton,A Morton
A Naylor,A Naylor
A Plantinga,A Plantinga
A Rosenberg,A Rosenberg
A Shimony,A Shimony
A Tormey,A Tormey
A Zabludowski,A Zabludowski
Aa Goldman,A Goldman
Adam Morton,A Morton
Ai Goldman,A Goldman
Aj Leggett,A Leggett
Al Goldman,A Goldman
Alvin Goldman,A Goldman
Alvin Plantinga,A Plantinga
Alvini Goldman,A Goldman
B Barry,B Barry
B Benacerraf,P Benacerraf
B Berofsky,B Berofsky
B Gert,B Gert
B Hallpartee,B Partee
B Marcus,R Marcus
B Matthews,G Matthews
B O'shaughnessy,B O'Shaughnessy
B O'shaugnessy,B O'Shaughnessy
B Osaughnessy,B O'Shaughnessy
B Oshaughnessey,B O'Shaughnessy
B Oshaughnessy,B O'Shaughnessy
B Partee,B Partee
B Shaughnessy,B O'Shaughnessy
B Stroud,B Stroud
B Vanfraasen,B van Fraassen
B Vanfraassen,B van Fraassen
B Vansfraassen,B van Fraassen
B Vermazen,B Vermazen
Ba Brody,B Brody
Barbara Partee,B Partee
Barbarah Partee,B Partee
Barbarahall Partee,B Partee
Bc Vanfraassen,B van Fraassen
Bc Vansfraassen,B van Fraassen
Bcv Fraassen,B van Fraassen
Bd Kim,J Kim
Benacerraf Paul,P Benacerraf
Bh Partee,B Partee
Brian O'shaughnessy,B O'Shaughnessy
Bv Field,H Field
C Chihara,C Chihara
C Cohen,C Cohen
C Dennett,D Dennett
C Glymour,C Glymour
C Graves,C Graves
C Hartshorne,C Hartshorne
C Hempel,C Hempel
C Kahn,C Kahn
C Parsons,C Parsons
C Raff,C Raff
Cd Dennett,D Dennett
Ch Kahn,C Kahn
Charles Kahn,C Kahn
Charlesh Kahn,C Kahn
Choice Our,H Frankfurt
Cs Chihara,C Chihara
Ctyler Burge,T Burge
Cw Webb,C Webb
D Allen,D Allen
D Berlinski,D Berlinski
D Blumenfeld,D Blumenfeld
D Blumenthal,D Blumenthal
D Carrier,D Carrier
D Dennett,D Dennett
D Devitt,D Devitt
D Follesdal,D Follesdal
D Gabbay,D Gabbay
D Gauthier,D Gauthier
D Gottleib,D Gottleib
D Gottlieb,D Gottlieb
D Kaplan,D Kaplan
D Lewis,D Lewis
D Long,D Long
D Louis,D Lewis
D Lyons,D Lyons
D Parfit,D Parfit
D Ross,D Ross
D Scott,D Scott
D Sedey,D Sedey
D Smith,D Smith
D Woodruffsmith,D Woodruff Smith
Dalen Van,D Van
Dana Scott,D Scott
Daniel Dennett,D Dennett
Danielc Dennett,D Dennett
David Blumenfeld,D Blumenfeld
David Lewis,D Lewis
David Lyons,D Lyons
David Smith,D Smith
Davidk Lewis,D Lewis
Dc Bennett,D Dennett
Dc Blumenfeld,D Blumenfeld
Dc Dennett,D Dennett
