Year,G1,G2,G3,G4
2008,0.676,0.533,0.503,0.477
2004,0.543,0.466,0.485,0.457
2000,0.507,0.493,0.494,0.517
1996,0.606,0.541,0.538,0.524
1992,0.559,0.521,0.508,0.567
1988,0.472,0.456,0.427,0.494
1984,0.406,0.421,0.399,0.394
1980,0.505,0.399,0.412,0.434
1976,0.519,0.501,0.476,0.472
1972,0.474,0.356,0.355,0.307
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
